"id","session_id","participant_key","participant_label","participant_kind","opponent_key","opponent_label","opponent_kind","rel_time","event_index","sequence_id","event_type","power","amount","state","range_bucket","buttons","saber_move","enemy_saber_move","yaw_delta","note"
"1","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","231","1","0","air","10","0","0","2","2","0","0","-50","landed"
"2","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","12540","2","0","damage","10","2","0","2","256","160","1","-161","saberthrow"
"3","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","12540","3","0","air","10","1","0","2","256","160","1","-161","airborne"
"4","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","12771","4","0","range","10","1","0","1","256","1","1","-153",""
"5","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","13398","5","0","air","10","0","0","1","0","1","1","-134","landed"
"6","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","13926","6","0","force","9","19","0","1","256","1","1","129",""
"7","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","13959","7","0","regen","10","1","0","1","256","1","1","128",""
"8","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","13959","8","0","air","10","1","0","1","256","1","1","128","airborne"
"9","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","13992","9","0","force","9","5","0","1","256","1","1","129",""
"10","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","14025","10","1","regen","10","1","0","1","256","1","0","130",""
"11","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","14058","11","1","regen","10","1","0","1","256","1","0","133",""
"12","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","14091","12","1","regen","10","1","0","1","256","1","0","135",""
"13","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","14124","13","1","regen","10","1","0","1","256","1","0","139",""
"14","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","14157","14","1","regen","10","1","0","1","256","1","0","141",""
"15","1","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds.jkb","Tavion","0","14190","15","1","regen","10","1","0","2","256","1","0","142",""
