"id","summary_id","participant_key","participant_label","participant_kind","opponent_key","won","side","opponent_side","matchup","total_force_spent","total_force_regen","ending_force","ending_hp","ending_armor","low_force_windows","grip_cripple_events","saber_throw_punishes","knockdown_events","late_defense_spends","opening_tactic","primary_issue","spent_neutral","spent_advantage","spent_disadvantage","spent_panic","spent_finishing","force_push","force_pull","force_grip","force_drain","force_rage","force_absorb","force_protect","force_heal","force_speed","force_seeing","force_unknown"
"409","205","user:void","void","1","user:socrates","1","1","1","1","609","562","53","65","55","11","0","4","1","0","seeing","low_force","262","20","96","141","90","0","0","0","0","0","0","0","0","0","609","0"
"410","205","user:socrates","socrates","1","user:void","0","1","1","1","656","574","100","-26","0","9","0","9","2","0","seeing","low_force","5","0","303","235","113","0","0","0","0","0","0","0","0","0","656","0"
"411","206","user:socrates","socrates","1","user:void","1","1","1","1","866","785","19","43","0","9","0","13","1","0","seeing","low_force","40","0","285","336","205","0","0","0","0","0","0","0","0","0","866","0"
"412","206","user:void","void","1","user:socrates","0","1","1","1","476","476","100","-15","37","9","0","5","1","0","seeing","low_force","155","0","60","241","20","0","0","0","0","0","0","0","0","0","476","0"
"413","207","user:socrates","socrates","1","user:void","1","1","1","1","600","500","0","29","0","9","0","6","0","0","seeing","low_force","113","0","279","208","0","0","0","0","0","0","0","0","0","0","600","0"
"414","207","user:void","void","1","user:socrates","0","1","1","1","546","546","100","0","0","1","0","9","3","0","unknown","low_force","133","0","298","48","67","0","0","0","0","0","0","0","0","0","546","0"
"415","208","user:void","void","1","user:socrates","1","1","2","2","786","747","55","80","9","41","0","4","2","0","seeing","low_force","32","0","278","375","101","0","0","0","0","0","0","0","0","0","786","0"
"416","208","user:socrates","socrates","1","user:void","0","2","1","2","833","833","100","-12","39","15","0","4","4","0","seeing","low_force","166","34","40","322","271","0","0","0","0","0","0","0","0","0","833","0"
"417","209","user:void","void","1","user:socrates","1","1","2","2","190","151","55","90","9","6","0","4","0","0","unknown","low_force","15","0","87","79","9","0","0","0","0","0","0","0","0","0","190","0"
"418","209","user:socrates","socrates","1","user:void","0","2","1","2","311","266","100","0","70","0","0","0","1","0","seeing","low_force","95","20","111","45","40","0","0","0","0","0","0","0","0","0","311","0"
"419","210","bot:/botfiles/gran.jkb","Gran","0","bot:/botfiles/chiss.jkb","1","1","2","2","1002","922","20","100","90","102","0","0","0","6","protect","low_force","28","0","342","474","158","0","218","0","0","0","55","22","471","236","0","0"
"420","210","bot:/botfiles/chiss.jkb","Chiss","0","bot:/botfiles/gran.jkb","0","2","1","2","868","868","100","-19","8","6","0","4","0","0","drain","low_force","58","0","273","154","383","45","598","60","75","50","0","0","0","0","40","0"
"421","211","user:socrates","socrates","1","user:void","1","2","1","2","551","532","81","20","69","4","0","2","1","0","seeing","low_force","189","24","210","34","94","0","0","0","0","0","0","0","0","0","551","0"
"422","211","user:void","void","1","user:socrates","0","1","2","2","405","347","100","-36","0","10","1","5","3","0","seeing","low_force","39","0","202","163","1","0","0","0","0","0","0","0","0","0","405","0"
"423","212","iphash:eee2a3ba","padawan","2","user:socrates","1","2","2","3","390","293","0","88","37","11","1","4","0","0","seeing","low_force","116","5","40","39","190","0","0","0","0","0","0","0","0","0","390","0"
"424","212","user:socrates","socrates","1","iphash:eee2a3ba","0","2","2","3","464","382","100","-15","37","18","4","2","1","0","seeing","low_force","28","0","209","227","0","0","0","0","0","0","0","0","0","0","464","0"
"425","213","user:void","void","1","user:socrates","1","1","1","1","1116","1048","32","29","0","14","0","8","3","0","seeing","low_force","284","40","103","371","318","0","0","0","0","0","0","0","0","0","1116","0"
"426","213","user:socrates","socrates","1","user:void","0","1","1","1","1466","1430","100","-2","0","44","0","19","6","0","unknown","low_force","4","0","405","1006","51","0","0","0","0","0","0","0","0","0","1466","0"
"427","214","user:socrates","socrates","1","user:void","1","1","1","1","362","282","14","80","70","7","0","0","0","0","seeing","low_force","19","0","151","143","49","0","0","0","0","0","0","0","0","0","362","0"
"428","214","user:void","void","1","user:socrates","0","1","1","1","260","230","100","-1","0","4","0","4","2","0","unknown","low_force","48","0","0","157","55","0","0","0","0","0","0","0","0","0","260","0"
"429","215","bot:/botfiles/gran.jkb","Gran","0","bot:/botfiles/chiss.jkb","1","1","2","2","886","801","15","100","11","144","2","0","0","12","heal","low_force","11","0","212","540","123","0","232","0","0","0","88","55","455","56","0","0"
"430","215","bot:/botfiles/chiss.jkb","Chiss","0","bot:/botfiles/gran.jkb","0","2","1","2","819","819","100","0","37","11","0","3","2","0","seeing","low_force","46","20","32","195","526","19","626","117","17","0","0","0","0","0","40","0"
"431","216","user:socrates","socrates","1","user:void","1","1","1","1","251","218","67","80","39","4","0","3","0","0","seeing","low_force","60","0","111","80","0","0","0","0","0","0","0","0","0","0","251","0"
"432","216","user:void","void","1","user:socrates","0","1","1","1","207","176","100","-1","0","0","0","7","0","0","unknown","saber_throw","0","0","141","0","66","0","0","0","0","0","0","0","0","0","207","0"
