"id","start_time","end_time","duration","type","mapname","winner_key","winner_label","winner_kind","winner_side","loser_key","loser_label","loser_kind","loser_side","draw","winner_opening","loser_opening","source_context"
"562","1789966474","1789966638","164","1","maps/mp/ffa3","bot:/botfiles/hardds4.jkb","New_Reborn","0","2","iphash:f51458ac","^7Padawan","2","2","0","push","seeing","duel"
"563","1790129798","1790129930","132","1","maps/mp/ffa3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","seeing","duel"
"564","1790129942","1790129957","15","1","maps/mp/ffa3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","seeing","duel"
"565","1790129966","1790130005","39","1","maps/mp/ffa3","user:void","void","1","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","seeing","duel"
"566","1790130011","1790130032","21","1","maps/mp/ffa3","user:void","void","1","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","seeing","duel"
"567","1790130036","1790130045","9","1","maps/mp/ffa3","user:void","void","1","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","seeing","duel"
"568","1790130054","1790130084","30","1","maps/mp/ffa3","iphash:f51458ac","^7Padawan","2","2","user:void","void","1","2","0","seeing","seeing","duel"
"569","1790130089","1790130106","17","1","maps/mp/ffa3","user:void","void","1","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","unknown","duel"
"570","1790130113","1790130136","23","1","maps/mp/ffa3","user:void","void","1","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","unknown","duel"
"571","1790130148","1790130162","14","1","maps/mp/ffa3","user:void","void","1","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","unknown","duel"
"572","1790130180","1790130233","53","1","maps/mp/ffa3","iphash:f51458ac","^7Padawan","2","2","user:void","void","1","2","0","seeing","seeing","duel"
"573","1790130239","1790130267","28","1","maps/mp/ffa3","iphash:f51458ac","^7Padawan","2","2","user:void","void","1","2","0","seeing","seeing","duel"
"574","1790130274","1790130327","53","1","maps/mp/ffa3","user:void","void","1","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","seeing","duel"
"575","1790130339","1790130351","12","1","maps/mp/ffa3","iphash:f51458ac","^7Padawan","2","2","user:void","void","1","2","0","seeing","seeing","duel"
"576","1790130356","1790130401","45","1","maps/mp/ffa3","user:void","void","1","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","seeing","duel"
"577","1790130436","1790130505","69","1","maps/mp/ffa3","user:void","void","1","2","iphash:f51458ac","^7Padawan","2","2","0","unknown","seeing","duel"
"578","1790130540","1790130601","61","1","maps/mp/ffa3","user:void","void","1","2","iphash:f51458ac","^7Padawan","2","2","0","seeing","seeing","duel"
