"id","session_id","participant_key","participant_label","participant_kind","opponent_key","opponent_label","opponent_kind","rel_time","event_index","sequence_id","event_type","power","amount","state","range_bucket","buttons","saber_move","enemy_saber_move","yaw_delta","note"
"1243","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50061","91","1","range","10","1","3","1","256","0","0","-168",""
"1244","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50358","92","1","range","10","2","3","2","256","0","0","157",""
"1245","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50457","93","1","regen","10","1","3","2","256","0","0","133",""
"1246","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50490","94","1","regen","10","1","3","2","256","0","0","120",""
"1247","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50523","95","1","regen","10","1","3","2","256","0","0","102",""
"1248","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50556","96","1","regen","10","1","3","2","256","0","0","96",""
"1249","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50589","97","1","regen","10","1","3","2","256","0","0","99",""
"1250","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50622","98","1","regen","10","1","3","2","256","0","0","103",""
"1251","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50655","99","1","regen","10","1","3","2","256","0","0","106",""
"1252","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50688","100","1","regen","10","1","3","2","256","0","0","109",""
