"id","source_context","start_time","end_time","duration","mapname","participant_key","participant_label","participant_kind","result","arcade_level","total_kills","total_force_spent","total_force_regen","total_damage_taken","total_damage_dealt","low_force_windows","knockdown_events","counter_successes","punish_successes","reset_successes","saber_return_punishes"
"119","arcade","1790297591","1790297611","20","maps/mp/duel3","iphash:2667391d","Padawan","2","eliminated","5","0","190","190","0","0","0","0","0","0","0","0"
"120","arcade","1790297622","1790297630","8","maps/mp/duel3","iphash:2667391d","Padawan","2","level_clear","2","0","22","22","0","0","0","0","0","0","0","0"
"121","arcade","1790297632","1790297667","35","maps/mp/duel3","iphash:2667391d","Padawan","2","level_clear","3","0","0","0","0","0","0","0","0","0","0","0"
"122","arcade","1790298066","1790298112","46","maps/vjun3","iphash:2667391d","Padawan","2","level_clear","1","1","385","301","123","186","30","0","0","2","3","2"
"123","arcade","1790298114","1790298124","10","maps/vjun3","iphash:2667391d","Padawan","2","level_clear","2","1","78","0","30","88","0","0","0","0","0","0"
"124","arcade","1790298126","1790298187","61","maps/vjun3","iphash:2667391d","Padawan","2","eliminated","3","0","788","748","133","258","13","1","1","11","8","1"
"125","arcade","1790298198","1790298226","28","maps/vjun3","iphash:2667391d","Padawan","2","level_clear","2","1","381","299","92","224","10","1","2","4","4","1"
"126","arcade","1790298228","1790298260","32","maps/vjun3","iphash:2667391d","Padawan","2","level_clear","3","1","249","149","30","259","16","0","1","2","2","2"
"127","arcade","1790298262","1790298296","34","maps/vjun3","iphash:2667391d","Padawan","2","level_clear","4","1","478","399","160","144","9","0","3","4","3","3"
"128","arcade","1790298298","1790298365","67","maps/vjun3","iphash:2667391d","Padawan","2","eliminated","5","1","867","767","233","463","44","3","3","7","11","2"
"129","arcade","1790298375","1790298422","47","maps/vjun3","user:void","void","1","eliminated","2","0","579","498","132","286","36","2","6","0","5","2"
"130","arcade","1790298433","1790298466","33","maps/vjun3","user:void","void","1","level_clear","2","1","399","299","162","220","20","0","8","3","0","4"
"131","arcade","1790298468","1790298485","17","maps/vjun3","user:void","void","1","eliminated","3","0","219","144","82","191","19","0","3","0","0","1"
"132","arcade","1790298496","1790298510","14","maps/vjun3","user:void","void","1","level_clear","2","1","152","81","20","138","0","1","0","1","0","0"
"133","arcade","1790298512","1790298564","52","maps/vjun3","user:void","void","1","level_clear","3","1","767","699","120","321","55","1","4","1","12","2"
"134","arcade","1790298566","1790298587","21","maps/vjun3","user:void","void","1","level_clear","4","1","328","231","83","190","6","1","4","2","4","1"
"135","arcade","1790298589","1790298728","139","maps/vjun3","user:void","void","1","level_clear","5","2","1925","1825","449","746","136","6","10","9","33","2"
"136","arcade","1790298730","1790298782","52","maps/vjun3","user:void","void","1","level_clear","6","2","653","608","103","375","37","1","5","3","12","1"
"137","arcade","1790298783","1790298877","94","maps/vjun3","user:void","void","1","level_clear","7","2","1265","1165","270","504","45","3","18","1","17","10"
